Epoch,Validation Loss,Validation Accuracy,Precision,Recall,F1 Score
1,0.8376918059328328,68.63100634632819,0.6790991444278767,0.7026291931097008,0.6594376822213946
2,0.663461700174379,64.1885766092475,0.6797585533244872,0.6482320942883046,0.6577896603944714
3,0.636551062512842,73.70806890299184,0.7340833064761463,0.7443336355394379,0.720552817780392
4,0.5555121589521443,76.60924750679963,0.7505736640678353,0.757026291931097,0.7524997305164371
5,0.501337750728086,77.69718948322756,0.7624274788372702,0.7706255666364461,0.7615281286467945
6,0.4600084677616261,78.6038077969175,0.7910556473515797,0.7896645512239348,0.7715465328285294
7,0.4127449341442274,71.441523118767,0.8009117411594414,0.7479601087941976,0.7560972267675105
8,0.361830536993394,85.04079782411604,0.8586801165135198,0.8495013599274706,0.8519842927785366
9,0.3105516096820002,88.21396192203082,0.8785195374277667,0.8776065276518585,0.8779995365741214
10,0.28475711795484054,85.58476881233001,0.84983872476621,0.8522212148685403,0.8493966819456459
11,0.24552095542598215,89.12058023572077,0.8775400296888655,0.8703535811423391,0.8632213248817898
12,0.20724461800332025,87.57932910244787,0.8680255429855335,0.8667271078875793,0.8616001597717218
13,0.19247184308558146,88.75793291024479,0.9146726216367588,0.9111514052583862,0.9120897764839054
14,0.16057694215119256,90.38984587488667,0.9186358942447352,0.9165911151405258,0.917217811961927
15,0.1661230421723416,88.75793291024479,0.9034098501900584,0.8966455122393472,0.8919749471962968
16,0.1484320392623914,88.30462375339982,0.8948565456716469,0.885766092475068,0.8877614563012958
17,0.12824903451692984,93.74433363553943,0.93183088386602,0.9320036264732547,0.9312670700667197
18,0.116845171979588,83.40888485947416,0.892660015358819,0.85766092475068,0.8619601567922998
19,0.10534383619192594,91.84043517679058,0.9124475909635218,0.9102447869446962,0.907704266026879
20,0.10574869161922924,92.56572982774252,0.9326546354606811,0.9329102447869447,0.9322704284340304
21,0.09366406962240797,89.48322756119674,0.9177083086542169,0.9066183136899365,0.9084825492012576
22,0.08777515796990776,89.21124206708976,0.9073698310782672,0.8912058023572076,0.893745596270409
23,0.08660921598466471,94.10698096101541,0.9436502449603446,0.9437896645512239,0.9437059254697281
24,0.07349904290232692,94.56029011786038,0.9511211477092362,0.9510426110607434,0.9510783655690028
25,0.08688475039421714,93.47234814143246,0.9334712030591329,0.9338168631006346,0.9333251490224094
26,0.06314038040470014,92.47506799637353,0.9263554103402863,0.9229374433363554,0.9206729491152249
27,0.07833732062262362,93.74433363553943,0.941333840334549,0.9392565729827742,0.9397699437093207
28,0.05620508988732067,94.83227561196736,0.9373167627429276,0.9374433363553943,0.9368198995947279
29,0.059013818700144195,94.46962828649139,0.945420946385818,0.9456029011786038,0.945221255552524
30,0.056948341312095155,94.10698096101541,0.9454019089197394,0.942883046237534,0.9434353980364576
31,0.05474756071372941,95.10426110607435,0.9505970564741727,0.9501359927470535,0.9502961074931605
32,0.056245498832321356,93.29102447869447,0.9400815927076192,0.9401631912964642,0.9401189119678875
33,0.048334077901209804,95.19492293744334,0.9417797491420594,0.9410698096101541,0.9401667750454652
34,0.05169995733419641,93.10970081595649,0.9449163000639295,0.9419764279238441,0.9425892417854077
35,0.037513426411029255,94.1976427923844,0.9419450440814171,0.9383499546690843,0.9390724002389159
36,0.04261087473759238,94.46962828649139,0.9433638439196211,0.9410698096101541,0.9416040398160012
37,0.05188312884505118,89.30190389845875,0.9155992683132106,0.9011786038077969,0.9033931377904657
38,0.03509952836964274,94.56029011786038,0.9417820962836868,0.9419764279238441,0.9415211838411915
39,0.04847051001202965,93.74433363553943,0.9428625855601748,0.9401631912964642,0.9407597482300392
40,0.029075123127643886,86.94469628286491,0.8774613662755945,0.85675430643699,0.8441728195325577
41,0.043736807729395234,94.92293744333635,0.9474590652119576,0.9474161378059837,0.9469146601239697
42,0.0356684600119479,94.46962828649139,0.9444840716358324,0.942883046237534,0.9417913555986238
43,0.03503334891576731,94.83227561196736,0.9532006515696452,0.9519492293744334,0.9522642126541586
44,0.03339660445486538,93.01903898458748,0.9391291151982072,0.9356300997280145,0.9363660102032615
45,0.03427171960397318,95.55757026291931,0.9481145772952767,0.9483227561196736,0.948146685238232
46,0.037909099906925196,95.46690843155032,0.949484734652601,0.9474161378059837,0.9478767508962834
47,0.039625909746702624,95.37624660018132,0.9522764685667514,0.9519492293744334,0.9520700357243586
48,0.033481206216973036,94.74161378059837,0.9441320650266886,0.9419764279238441,0.9424846906441748
49,0.03548417414328599,95.37624660018132,0.9597326935360511,0.9592021758839528,0.9593612259430414
50,0.03294978098930181,95.92021758839529,0.9594937875618663,0.9592021758839528,0.9593047473131344
51,0.0428254025814991,95.28558476881233,0.955780338386582,0.9555757026291931,0.9556560115931394
52,0.03007419675963523,92.02175883952856,0.9433748658523662,0.9365367180417045,0.93758373791866
53,0.044100103708673184,96.10154125113327,0.9610991583321985,0.9610154125113327,0.9607257727118301
54,0.02983694858108799,97.0988213961922,0.9491063757074141,0.9492293744333635,0.9491537391339481
55,0.017813750996662426,95.8295557570263,0.9554927765892146,0.9555757026291931,0.9555262294284501
56,0.031691840480143924,96.19220308250226,0.9637556211069354,0.9637352674524026,0.9635105624794731
57,0.022740020598304784,95.19492293744334,0.9461413943985457,0.9446962828649139,0.9436925629932724
58,0.030905815470008667,96.37352674524026,0.9520390107878776,0.9519492293744334,0.9515114818168575
59,0.03361722645455324,96.19220308250226,0.9546690843155031,0.9546690843155031,0.9546690843155031
60,0.02720698394909536,95.92021758839529,0.9473127803912872,0.9474161378059837,0.9470035728560801
61,0.028466940324901574,96.64551223934724,0.9618694580960411,0.9619220308250227,0.9617169145728072
62,0.02999360411771286,97.28014505893019,0.9581735945311891,0.958295557570263,0.9581042440779557
63,0.026184500819191436,93.56300997280145,0.9503348039550741,0.9456029011786038,0.9463605502433777
64,0.03595859660456864,95.19492293744334,0.9540807983155299,0.9537624660018132,0.9538787136215526
65,0.021200528400372575,95.28558476881233,0.9489372982428791,0.9483227561196736,0.947625374770533
66,0.023946570470402745,95.37624660018132,0.9492293744333635,0.9492293744333635,0.9492293744333635
67,0.02982723775968897,96.64551223934724,0.956613792352645,0.956482320942883,0.9561043223654739
68,0.024084760647349625,95.28558476881233,0.9523735234010507,0.9519492293744334,0.9513865939942171
69,0.02879598431269944,96.82683590208522,0.9672812996394576,0.9673617407071623,0.9672632155175829
70,0.03000970827138444,96.10154125113327,0.9543788122744322,0.9537624660018132,0.9531800251171313
71,0.018259275708497506,96.28286491387126,0.9573041014539954,0.957388939256573,0.9571422117213277
72,0.027330070275311074,96.46418857660925,0.9584608092890894,0.958295557570263,0.9579333089335792
73,0.01746306694745749,96.55485040797824,0.9541030486715034,0.9537624660018132,0.9532616076453694
74,0.01934689368386695,95.7388939256573,0.9504185066732842,0.9492293744333635,0.9495457366675158
75,0.020601644416577847,95.46690843155032,0.955421177787016,0.9555757026291931,0.9553895004377593
76,0.026277371054983185,95.55757026291931,0.9479279901460667,0.9474161378059837,0.9467302084648977
77,0.026671531038096104,96.82683590208522,0.9573041014539954,0.957388939256573,0.9571422117213277
78,0.018890657691688673,95.28558476881233,0.9538244648624159,0.9528558476881233,0.9531187372049482
79,0.02471470159709938,95.8295557570263,0.9618156515241973,0.9619220308250227,0.9618363823617793
80,0.024030644970706314,95.10426110607435,0.9560028704026531,0.9555757026291931,0.9557183503120885
81,0.02215182013502012,96.28286491387126,0.9601741756855715,0.9601087941976428,0.9601379275006691
82,0.027481149626364696,96.46418857660925,0.9573041014539954,0.957388939256573,0.9571422117213277
83,0.020196030645888218,94.65095194922938,0.9412545655514396,0.9383499546690843,0.9368322285334398
84,0.022451421704973197,95.37624660018132,0.9555735672775855,0.9555757026291931,0.9552456479739458
85,0.011234894522095086,97.28014505893019,0.9591274068404736,0.9592021758839528,0.9591567413118418
86,0.01738854474266794,96.37352674524026,0.954808438299428,0.9537624660018132,0.9540354939866158
87,0.01818094970675425,96.28286491387126,0.9580741801004982,0.957388939256573,0.9575839526468667
88,0.02155847818919384,96.55485040797824,0.9566368541496939,0.956482320942883,0.9565454657135894
89,0.017732908224820113,95.92021758839529,0.9536951561825763,0.9519492293744334,0.9510771448957941
90,0.013721740534719378,96.82683590208522,0.9647066312151729,0.9646418857660924,0.9644083524156252
91,0.027114651117602657,97.0081595648232,0.9614086843311335,0.9610154125113327,0.9611405931310163
92,0.033518468476066286,95.92021758839529,0.9589689891971681,0.957388939256573,0.9577225177081168
93,0.024871083993025563,95.55757026291931,0.9606997452297961,0.9601087941976428,0.9602778814434779
94,0.023027100639981046,96.01087941976428,0.9528744655590987,0.9510426110607434,0.9501305427159984
95,0.01567732109727681,96.28286491387126,0.9664049348624045,0.9655485040797824,0.9651298627578712
96,0.008999890747571479,97.0081595648232,0.9736555682175462,0.9737080689029919,0.9736589479675148
97,0.018091897029908013,96.10154125113327,0.9474161378059837,0.9474161378059837,0.9474161378059837
98,0.02049244613423771,95.19492293744334,0.9612007050111385,0.9610154125113327,0.9610858877245918
99,0.022371041549105814,97.0081595648232,0.9664804533598189,0.9664551223934723,0.9662608900784923
100,0.028244404091254786,96.73617407071623,0.966719380065899,0.9664551223934723,0.9661778848499002
