Epoch,Validation Loss,Validation Accuracy,Precision,Recall,F1 Score
1,2.6121416462569678,61.358024691358025,0.6670999078686295,0.6234567901234568,0.6139601841331848
2,0.9359415897301265,67.1604938271605,0.7598456408763425,0.7024691358024692,0.7009188613005047
3,0.5423235113129896,69.50617283950618,0.7763030098556414,0.7320987654320987,0.7317413490175638
4,0.3726974115276537,69.50617283950618,0.7398782399517694,0.6950617283950618,0.6887943736571747
5,0.26451977245321795,69.87654320987654,0.7687000858904883,0.7222222222222222,0.718562354303942
6,0.1827006676203,68.39506172839506,0.7560644439075812,0.7148148148148148,0.7126679028791245
7,0.15658644736282715,71.23456790123457,0.7638262643153947,0.7246913580246913,0.7199283949639724
8,0.1552574185325819,73.58024691358025,0.7764095164095165,0.7382716049382716,0.7358820517863532
9,0.1182116890607887,72.22222222222223,0.7548002097757,0.7296296296296296,0.7243594055805959
10,0.09620366686516825,70.61728395061728,0.763146113146113,0.7358024691358025,0.7304846023096199
11,0.10847678819304785,72.71604938271605,0.7891855004109906,0.7592592592592593,0.757485384535481
12,0.0710105186430033,71.60493827160494,0.7717808919475586,0.7283950617283951,0.7265887353084375
13,0.08881323640538036,70.98765432098766,0.7534593356897278,0.7123456790123457,0.7107845260951966
14,0.07516920192660216,71.23456790123457,0.7794165157645551,0.7358024691358025,0.7296242345811376
15,0.06951617783506815,71.9753086419753,0.7685152690289092,0.7296296296296296,0.7296532520947913
16,0.08142281030395221,71.35802469135803,0.7671388342002378,0.7308641975308642,0.7299134957272212
17,0.07501970913198565,70.98765432098766,0.7591446824780158,0.7345679012345679,0.7314498767478083
18,0.06959337984336962,69.01234567901234,0.7623331823357622,0.7185185185185186,0.717777028536851
19,0.04862164667594254,69.38271604938272,0.7752602378518832,0.7296296296296296,0.7279804487468148
20,0.08189333823681691,70.37037037037037,0.7409297501699463,0.7074074074074074,0.7055548280863503
21,0.060645873023455324,72.46913580246914,0.7571193004526338,0.7345679012345679,0.7294272682708991
22,0.06687802261038989,72.22222222222223,0.7510185347466048,0.7283950617283951,0.7227256633368939
23,0.07551889175240013,70.74074074074075,0.7582241678075011,0.7234567901234568,0.7226666017800535
24,0.05693656921412643,70.0,0.7434118514020476,0.725925925925926,0.7140793247632398
25,0.07158704837314597,69.50617283950618,0.7507614570385469,0.7024691358024692,0.6961025692847607
26,0.09177137320340775,70.98765432098766,0.7437710746044078,0.7037037037037037,0.7012767056615713
27,0.044280710989636755,73.20987654320987,0.7541595395297667,0.737037037037037,0.7285458552090222
28,0.05588994232033763,73.33333333333333,0.7571735517568852,0.7271604938271605,0.7210265893328575
29,0.07462542682424482,69.62962962962963,0.7654944129944129,0.7320987654320987,0.7293042737700366
30,0.04731948153475816,71.9753086419753,0.7513707280373948,0.7222222222222222,0.7215166420492544
31,0.04804412144145286,71.9753086419753,0.7508857709102807,0.7234567901234568,0.7186554134151163
32,0.054448915630072245,71.60493827160494,0.7456863307353503,0.7135802469135802,0.7071993992155446
33,0.060388446237672776,74.44444444444444,0.7720492624659292,0.737037037037037,0.7368358118684767
34,0.05619149640380569,71.85185185185185,0.7437083132916465,0.7160493827160493,0.7089998918895586
35,0.05072899250961261,72.09876543209876,0.7633138774805441,0.7197530864197531,0.714901378730584
36,0.0658329752236683,72.22222222222223,0.7603169515669516,0.7222222222222222,0.7208585840481789
37,0.03866599611611499,71.9753086419753,0.7682945906198251,0.7222222222222222,0.7255075719844418
38,0.03330271986620772,70.0,0.7481387031632131,0.7024691358024692,0.6992145666228763
39,0.049742524790432806,69.38271604938272,0.7350822788322788,0.6987654320987654,0.6962266402278519
40,0.04131604977743994,70.0,0.7587526670860004,0.7222222222222222,0.717453983336598
41,0.03861097151075075,68.64197530864197,0.7443010602324328,0.7037037037037037,0.701402624314458
42,0.06590783034212605,66.79012345679013,0.7228540546523003,0.6814814814814815,0.6721157288002308
43,0.06410446103142525,70.37037037037037,0.74851623684957,0.7111111111111111,0.7086892120900586
44,0.03321630475461041,69.62962962962963,0.751257564149721,0.725925925925926,0.7212583725823508
45,0.04629962841175891,68.14814814814815,0.7383359496349694,0.7061728395061728,0.6997210332840496
46,0.03861745132048743,67.4074074074074,0.755267448600782,0.7246913580246913,0.7164620737492386
47,0.1056464415683999,68.88888888888889,0.7328026911360246,0.7086419753086419,0.6998707298536124
48,0.05207253395659974,69.62962962962963,0.7581228031228032,0.7246913580246913,0.7186709237625657
49,0.04973591989848593,70.12345679012346,0.74082864666198,0.7135802469135802,0.7070726860262433
50,0.029236360887012824,70.12345679012346,0.7599229461819762,0.717283950617284,0.7174843535805082
