Epoch,Validation Loss,Validation Accuracy,Precision,Recall,F1 Score
1,1.9307228539002503,43.91857506361323,0.45732193356220024,0.4309336046807428,0.37747317688209164
2,1.455305539812717,55.5470737913486,0.5564644914423317,0.5515136097685067,0.5252766821150925
3,1.2223814217207944,60.73791348600509,0.614368256699555,0.5988298142966166,0.5896388792340022
4,1.0719195795724945,66.03053435114504,0.6611942605597396,0.6517425591452557,0.6512762061951384
5,0.9658332844159158,70.48346055979644,0.6919889055731363,0.6947341643347749,0.690622482460011
6,0.8769986866656398,69.97455470737914,0.7036970915590055,0.699567540066141,0.6951376553399443
7,0.8075623774923787,71.55216284987277,0.7349812743499603,0.7173747138132791,0.7112073986092206
8,0.732260472851482,70.45801526717557,0.7341661878650279,0.7135588908674637,0.7166752315978412
9,0.683943189589557,73.30788804071247,0.7345871744004502,0.7224624777410328,0.7187459672334439
10,0.6173793337524042,74.83460559796438,0.7545437678684591,0.74917323836174,0.7485050292336343
11,0.5747332478536985,75.19083969465649,0.7680992471168729,0.7575680488425337,0.75731533209289
12,0.5238763255442624,75.57251908396947,0.7687064486538439,0.7590943780208599,0.7580253074499517
13,0.49739060664052115,75.41984732824427,0.7640645962152792,0.7560417196642076,0.7558170406978414
14,0.4529896550543645,77.76081424936386,0.7758550426322273,0.7753752225896718,0.7734376287810687
15,0.4090721790027036,75.67430025445293,0.764344111542289,0.748410073772577,0.7505082875410987
16,0.3806836075339642,77.70992366412214,0.7878385415899908,0.7845331976596286,0.7846576388279544
17,0.35803527226362764,77.1501272264631,0.7747179955605651,0.7725769524294073,0.7705164847494281
18,0.3278965453306834,77.48091603053435,0.7861652299080717,0.7769015517679979,0.7790967415578032
19,0.29066248189976496,78.62595419847328,0.784157640713542,0.7776647163571611,0.7794058940199391
20,0.2814767230139561,77.60814249363868,0.7761976698201001,0.7677435766980412,0.7684364743631754
21,0.2654436197242396,78.9058524173028,0.7959263320850234,0.793945560925973,0.7936588654156121
22,0.24564610279602425,78.9058524173028,0.7989747753688559,0.7969982192826253,0.7956005691005987
23,0.2295000008348031,78.16793893129771,0.7876593927626868,0.7827524802849147,0.7826211107529549
24,0.207759317090283,79.87277353689568,0.8015094739365749,0.7972526074790129,0.7961786875171668
25,0.19504969783393863,78.95674300254453,0.7838835776777685,0.7812261511065887,0.7798454473313823
